Key,Source,Context,Changes,English,Russian
perkShockerRank8Desc,progression,Skills,,Kill the Shocker 36 time,Убить Шокера 36 раз
perkShockerRank8LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nShocker damage increased by [DECEA3]24%[-], Shocker damage decreased by [DECEA3]15%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]30%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Шокеру увеличен на [DECEA3]24%[-]. Снижение урона от Шокера на [DECEA3]15%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]30%[-]"
perkShockerRank9Desc,progression,Skills,,Kill the Shocker 48 time,Убить Шокера 48 раз
perkShockerRank9LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nShocker damage increased by [DECEA3]27%[-], Shocker damage decreased by [DECEA3]20%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]40%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Шокеру увеличен на [DECEA3]27%[-]. Снижение урона от Шокера на [DECEA3]20%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]40%[-]"
perkShockerRank10Desc,progression,Skills,,Kill the Shocker 60 time,Убить Шокера 60 раз
perkShockerRank10LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nShocker damage increased by [DECEA3]30%[-], Shocker damage decreased by [DECEA3]25%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]50%[-]\n\n[FFB800]BONUS ABILITY:[-]\nYou are not afraid of Shocker. You are not affected by the miniboss's active radiation.","[DECEA3]БОНУСЫ:[-]\nУрон по Шокеру увеличен на [DECEA3]30%[-]. Снижение урона от Шокера на [DECEA3]25%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]50%[-]\n\n[FFB800]БОНУСНАЯ СПОСОБНОСТЬ:[-]\nВы не боитесь Шокера. На вас не действует активная радиация босса."

perkBossVeteranName,progression,perk,,Veteran,Ветеран
perkBossVeteranDesc,progression,perk,,"This fat and radioactive flesh takes almost no damage. But everyone has their weak points. Find them by killing as many of these creatures as possible.\n\n[DECEA3]Currently killed: {cvar(CountBossVeteran:0)}[-]","Этот жир и радиоактивная плоть почти не получает урона. Но у всех есть слабые места. Найдите их, убивая как можно больше этих тварей.\n\n[DECEA3]Сейчас убито: {cvar(CountBossVeteran:0)}[-]"
Veteran_LevelUP,UI,Tooltip,,Increased passive skill: Veteran,Повышен пассивный навык: Ветеран
reqPerkVeteran01,progression,Attribute,,{cvar(CountBossVeteran:0)} of 1,{cvar(CountBossVeteran:0)} из 1
reqPerkVeteran02,progression,Attribute,,{cvar(CountBossVeteran:0)} of 3,{cvar(CountBossVeteran:0)} из 3
reqPerkVeteran03,progression,Attribute,,{cvar(CountBossVeteran:0)} of 6,{cvar(CountBossVeteran:0)} из 6
reqPerkVeteran04,progression,Attribute,,{cvar(CountBossVeteran:0)} of 10,{cvar(CountBossVeteran:0)} из 10
reqPerkVeteran05,progression,Attribute,,{cvar(CountBossVeteran:0)} of 15,{cvar(CountBossVeteran:0)} из 15
reqPerkVeteran06,progression,Attribute,,{cvar(CountBossVeteran:0)} of 20,{cvar(CountBossVeteran:0)} из 20
reqPerkVeteran07,progression,Attribute,,{cvar(CountBossVeteran:0)} of 28,{cvar(CountBossVeteran:0)} из 28
reqPerkVeteran08,progression,Attribute,,{cvar(CountBossVeteran:0)} of 36,{cvar(CountBossVeteran:0)} из 36
reqPerkVeteran09,progression,Attribute,,{cvar(CountBossVeteran:0)} of 48,{cvar(CountBossVeteran:0)} из 48
reqPerkVeteran10,progression,Attribute,,{cvar(CountBossVeteran:0)} of 60,{cvar(CountBossVeteran:0)} из 60
perkVeteranRank1Desc,progression,Skills,,Kill the Veteran 1 time,Убить Ветерана 1 раз
perkVeteranRank1LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]3%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]3%[-]"
perkVeteranRank2Desc,progression,Skills,,Kill the Veteran 3 time,Убить Ветерана 3 раза
perkVeteranRank2LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]6%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]6%[-]"
perkVeteranRank3Desc,progression,Skills,,Kill the Veteran 6 time,Убить Ветерана 6 раз
perkVeteranRank3LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]9%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]9%[-]"
perkVeteranRank4Desc,progression,Skills,,Kill the Veteran 10 time,Убить Ветерана 10 раз
perkVeteranRank4LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]12%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]12%[-]"
perkVeteranRank5Desc,progression,Skills,,Kill the Veteran 15 time,Убить Ветерана 15 раз
perkVeteranRank5LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]15%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]15%[-]"
perkVeteranRank6Desc,progression,Skills,,Kill the Veteran 20 time,Убить Ветерана 20 раз
perkVeteranRank6LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]18%[-], Veteran damage decreased by [DECEA3]5%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]10%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]18%[-]. Снижение урона от Ветерана на [DECEA3]5%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]10%[-]"
perkVeteranRank7Desc,progression,Skills,,Kill the Veteran 28 time,Убить Ветерана 28 раз
perkVeteranRank7LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]21%[-], Veteran damage decreased by [DECEA3]10%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]20%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]21%[-]. Снижение урона от Ветерана на [DECEA3]10%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]20%[-]"
perkVeteranRank8Desc,progression,Skills,,Kill the Veteran 36 time,Убить Ветерана 36 раз
perkVeteranRank8LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]24%[-], Veteran damage decreased by [DECEA3]15%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]30%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]24%[-]. Снижение урона от Ветерана на [DECEA3]15%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]30%[-]"
perkVeteranRank9Desc,progression,Skills,,Kill the Veteran 48 time,Убить Ветерана 48 раз
perkVeteranRank9LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]27%[-], Veteran damage decreased by [DECEA3]20%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]40%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]27%[-]. Снижение урона от Ветерана на [DECEA3]20%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]40%[-]"
perkVeteranRank10Desc,progression,Skills,,Kill the Veteran 60 time,Убить Ветерана 60 раз
perkVeteranRank10LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nVeteran damage increased by [DECEA3]30%[-], Veteran damage decreased by [DECEA3]25%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]50%[-]\n\n[FFB800]BONUS ABILITY:[-]\nYou are not afraid of Veteran. You are not affected by the miniboss's active radiation.","[DECEA3]БОНУСЫ:[-]\nУрон по Ветерану увеличен на [DECEA3]30%[-]. Снижение урона от Ветерана на [DECEA3]25%[-]. Количество добываемых «Образцов мутации» увеличено на [DECEA3]50%[-]\n\n[FFB800]БОНУСНАЯ СПОСОБНОСТЬ:[-]\nВы не боитесь Ветерана. На вас не действует активная радиация босса."

perkBossCarrierName,progression,perk,,Carrier,Носитель
perkBossCarrierDesc,progression,perk,,"It is better not to touch this creature at all. But the desire for prey always prevails, although more often than not it is not worth it. But everyone has their weak points. Find them by killing as many of these creatures as possible.\n\n[DECEA3]Currently killed: {cvar(CountBossCarrier:0)}[-]","Лучше это существо не трогать совсем. Но желание добычи всегда преобладает, хотя чаще оно того не стоит. Но у всех есть свои слабые места. Найдите их, убивая как можно больше этих тварей.\n\n[DECEA3]Сейчас убито: {cvar(CountBossCarrier:0)}[-]"
Carrier_LevelUP,UI,Tooltip,,Increased passive skill: Carrier,Повышен пассивный навык: Носитель
reqPerkCarrier01,progression,Attribute,,{cvar(CountBossCarrier:0)} of 1,{cvar(CountBossCarrier:0)} из 1
reqPerkCarrier02,progression,Attribute,,{cvar(CountBossCarrier:0)} of 2,{cvar(CountBossCarrier:0)} из 2
reqPerkCarrier03,progression,Attribute,,{cvar(CountBossCarrier:0)} of 4,{cvar(CountBossCarrier:0)} из 4
reqPerkCarrier04,progression,Attribute,,{cvar(CountBossCarrier:0)} of 6,{cvar(CountBossCarrier:0)} из 6
reqPerkCarrier05,progression,Attribute,,{cvar(CountBossCarrier:0)} of 10,{cvar(CountBossCarrier:0)} из 10
reqPerkCarrier06,progression,Attribute,,{cvar(CountBossCarrier:0)} of 14,{cvar(CountBossCarrier:0)} из 14
reqPerkCarrier07,progression,Attribute,,{cvar(CountBossCarrier:0)} of 18,{cvar(CountBossCarrier:0)} из 18
reqPerkCarrier08,progression,Attribute,,{cvar(CountBossCarrier:0)} of 24,{cvar(CountBossCarrier:0)} из 24
reqPerkCarrier09,progression,Attribute,,{cvar(CountBossCarrier:0)} of 32,{cvar(CountBossCarrier:0)} из 32
reqPerkCarrier10,progression,Attribute,,{cvar(CountBossCarrier:0)} of 40,{cvar(CountBossCarrier:0)} из 40
perkCarrierRank1Desc,progression,Skills,,Kill the Carrier 1 time,Убить Носителя 1 раз
perkCarrierRank1LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]3%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]3%[-]"
perkCarrierRank2Desc,progression,Skills,,Kill the Carrier 2 time,Убить Носителя 2 раза
perkCarrierRank2LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]6%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]6%[-]"
perkCarrierRank3Desc,progression,Skills,,Kill the Carrier 4 time,Убить Носителя 4 раз
perkCarrierRank3LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]9%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]9%[-]"
perkCarrierRank4Desc,progression,Skills,,Kill the Carrier 6 time,Убить Носителя 6 раз
perkCarrierRank4LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]12%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]12%[-]"
perkCarrierRank5Desc,progression,Skills,,Kill the Carrier 10 time,Убить Носителя 10 раз
perkCarrierRank5LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]15%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]15%[-]"
perkCarrierRank6Desc,progression,Skills,,Kill the Carrier 14 time,Убить Носителя 14 раз
perkCarrierRank6LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]18%[-], Carrier damage decreased by [DECEA3]5%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]10%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]18%[-]. Снижение урона от Носителя на [DECEA3]5%[-], Количество добываемых «Образцов мутации» увеличено на [DECEA3]10%[-]"
perkCarrierRank7Desc,progression,Skills,,Kill the Carrier 18 time,Убить Носителя 18 раз
perkCarrierRank7LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]21%[-], Carrier damage decreased by [DECEA3]10%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]20%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]21%[-]. Снижение урона от Носителя на [DECEA3]10%[-], Количество добываемых «Образцов мутации» увеличено на [DECEA3]20%[-]"
perkCarrierRank8Desc,progression,Skills,,Kill the Carrier 24 time,Убить Носителя 24 раз
perkCarrierRank8LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]24%[-], Carrier damage decreased by [DECEA3]15%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]30%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]24%[-]. Снижение урона от Носителя на [DECEA3]15%[-], Количество добываемых «Образцов мутации» увеличено на [DECEA3]30%[-]"
perkCarrierRank9Desc,progression,Skills,,Kill the Carrier 32 time,Убить Носителя 32 раз
perkCarrierRank9LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]27%[-], Carrier damage decreased by [DECEA3]20%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]40%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]27%[-]. Снижение урона от Носителя на [DECEA3]20%[-], Количество добываемых «Образцов мутации» увеличено на [DECEA3]40%[-]"
perkCarrierRank10Desc,progression,Skills,,Kill the Carrier 40 time,Убить Носителя 40 раз
perkCarrierRank10LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nCarrier damage increased by [DECEA3]30%[-], Carrier damage decreased by [DECEA3]25%[-], The amount of «Mutation Samples» obtained is increased by [DECEA3]50%[-]\n\n[FFB800]BONUS ABILITY:[-]\nYou are not afraid of Carrier. You are not affected by the miniboss's active radiation.","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]30%[-]. Снижение урона от Носителя на [DECEA3]25%[-], Количество добываемых «Образцов мутации» увеличено на [DECEA3]50%[-]\n\n[FFB800]БОНУСНАЯ СПОСОБНОСТЬ:[-]\nВы не боитесь Носителя. На вас не действует активная радиация босса."

0000 BUFFS 0000

buffSecondWindBonusReloadName,buffs,buff,,Second Wind (Recovery),Второе Дыхание (Восстановление)
buffSecondWindBonusReloadTooltip,buffs,buff,,Your passive skill Second Wind has been activated,У вас сработал пассивный навык «Второе дыхание»
buffSecondWindBonusReloadDesc,buffs,Buff,,"Your passive skill Second Wind has been activated. You have restored 500 stamina. The ability is now being restored.","У вас сработал пассивный навык «Второе дыхание». Вы восстановили 500 выносливости. Сейчас способность восстанавливается."

buffIrradiatedBonusReloadName,buffs,buff,,Irradiated (Recovery),Облученный (Восстановление)
buffIrradiatedBonusReloadTooltip,buffs,buff,,Your passive skill irradiated has been activated,У вас сработал пассивный навык «Облученный»
buffIrradiatedBonusReloadDesc,buffs,Buff,,"Your passive skill Irradiated has been activated. Irradiation has been reduced by 25%. The ability is currently being restored.","У вас сработал пассивный навык «Облученный». Облучение снизилось на 25%. Сейчас способность восстанавливается."

buffPureAdrenalineReloadName,buffs,buff,,Pure Adrenaline (Recovery),Чистый Адреналин (Восстановление)
buffPureAdrenalineReloadTooltip,buffs,buff,,Your passive skill Pure Adrenaline has been activated,У вас сработал пассивный навык «Чистый адреналин»
buffPureAdrenalineReloadDesc,buffs,Buff,,"Your passive skill Pure Adrenaline has been activated. You have restored 150 health. The ability is now being restored.","У вас сработал пассивный навык «Чистый Адреналин». Вы восстановили 150 здоровья. Сейчас способность восстанавливается."

buffBerserkName,buffs,buff,,Berserk,Берсерк
buffBerserkTooltip,buffs,buff,,Passive skill Berserk is active,Пассивный навык «Берсерк» активен
buffBerserkDesc,buffs,Buff,,"Physical damage protection increased by 25%","Защита от физического урона увеличена на 25%"

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- Z_Perfection -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->

MagazineNotes,items,Resources,,Notes from magazines,Заметки из журналов
MagazineNotesDesc,items,Resources,,"By collecting enough notes, you can get an additional skill point.","Собрав достаточное количество заметок, вы сможете получить дополнительное очко навыка."
Magazine_AddSkillPoint,items,Books,,Skills Journal,Журнал навыков
Magazine_AddSkillPointDesc,items,Books,,"When you read it, you will receive 1 skill point.","При прочтении вы получите 1 очко навыка."
SkillPointBundle5,items,Item,,Bundle 5 skill points,Набор 5 очков навыков
SkillPointBundle5Desc,items,Item,,"The bundle contains 5 skills journals","Набор содержит 5 журналов навыков."
SkillPointBundle25,items,Item,,Bundle 25 skill points,Набор 25 очков навыков
SkillPointBundle25Desc,items,Item,,"The bundle contains 25 skills journals","Набор содержит 25 журналов навыков."

buffXPBonusName,buffs,buff,,Bonus to experience gained, Бонус к получаемому опыту
buffXPBonusTooltip,buffs,buff,,Experience gained increased by 10%,Получаемый опыт увеличен на 10%
buffXPBonusIncDesc,buffs,Buff,,"You have a good teacher next to you.\nAll experience gained is increased by [DECEA3]10%[-]","Рядом с вами хороший учитель.\nВесь получаемый опыт увеличена на [DECEA3]10%[-]"

attperfection,progression,Attribute,,Perfection,Совершенствование
attperfectionName,progression,Attribute,,Attribute: Perfection,Атрибут: Совершенствование
attperfectionDesc,progression,Attribute,,"Advanced character skill development. You are recognized by traders and receive a bonus to buying and selling","Продвинутое развитие навыков персонажа. Вас узнают торговцы и вы получаете бонус к покупке и продаже."

atttselftraits,progression,Attribute,,Self Traits,Личные качества
atttselftraitsDesc,progression,Attribute,,No skill points are required here. The character's personal self traits are formed automatically at the beginning of the game. You can change positive or negative traits during the game.,Здесь не требуются очки навыков. Личные качества персонажа формируются после прочтения книги «Личные качества». Вы можете поменять положительные или отрицательные качества в процессе игры.

attperfectionRank01Desc,progression,Attribute,,Newbie,Новичек
attperfectionRank01LongDesc,progression,Attribute,,"You are still far from perfect, but everything is in your hands. Purchase costs from merchants have been reduced by 0.5% and sale costs have been increased by 2%. Explore the world and become the king of the wasteland.","Вы еще далеки от совершенства, но все в ваших руках. Стоимость покупки у торговцев уменьшена на 0.5%, а стоимость продажи увеличена на 2%. Исследуйте мир и станьте королем пустоши."
attperfectionRank02Desc,progression,Attribute,,Sneaky,Проныра
attperfectionRank02LongDesc,progression,Attribute,,"You are no longer just meat - you are running. Purchase costs from merchants have been reduced by 1% and sale costs have been increased by 4%. Explore the world and become the king of the wasteland.","Вы уже не простое мясо - а бегающее. Стоимость покупки у торговцев уменьшена на 1%, а стоимость продажи увеличена на 4%. Исследуйте мир и станьте королем пустоши."
attperfectionRank03Desc,progression,Attribute,,Wanderer,Странник
attperfectionRank03LongDesc,progression,Attribute,,"You have seen the world and have some experience in survival. Purchase costs from merchants have been reduced by 1.5% and sale costs have been increased by 6%. Explore the world and become the king of the wasteland.","Вы повидали мир и какой-то опыт выживания у вас есть. Стоимость покупки у торговцев уменьшена на 1.5%, а стоимость продажи увеличена на 6%. Исследуйте мир и станьте королем пустоши."
attperfectionRank04Desc,progression,Attribute,,Researcher,Исследователь
attperfectionRank04LongDesc,progression,Attribute,,"You've mastered the basics perfectly, now it's time to delve into the details. Purchase costs from merchants have been reduced by 2% and sale costs have been increased by 8%. Explore the world and become the king of the wasteland.","Азы вы освоили на отлично, теперь пора углубиться в детали. Стоимость покупки у торговцев уменьшена на 2%, а стоимость продажи увеличена на 8%. Исследуйте мир и станьте королем пустоши."
attperfectionRank05Desc,progression,Attribute,,Recognizable,Узнаваемый
attperfectionRank05LongDesc,progression,Attribute,,"Other survivors have heard about you. Not necessarily only good things. Purchase costs from merchants have been reduced by 2.5% and sale costs have been increased by 10%. Explore the world and become the king of the wasteland.","Про вас слышали другие выжившие. Не факт что только хорошее. Стоимость покупки у торговцев уменьшена на 2.5%, а стоимость продажи увеличена на 10%. Исследуйте мир и станьте королем пустоши."
attperfectionRank06Desc,progression,Attribute,,Mercenary,Наемник
attperfectionRank06LongDesc,progression,Attribute,,"You have excellent fighting skills - all that remains is to put them into practice. Purchase costs from merchants have been reduced by 3% and sale costs have been increased by 12%. Explore the world and become the king of the wasteland.","У вас отличные навыки боя - осталось применить их на деле. Стоимость покупки у торговцев уменьшена на 3%, а стоимость продажи увеличена на 12%. Исследуйте мир и станьте королем пустоши."
attperfectionRank07Desc,progression,Attribute,,Veteran,Ветеран
attperfectionRank07LongDesc,progression,Attribute,,"You've seen a lot. But don't stop there. Purchase costs from merchants have been reduced by 3.5% and sale costs have been increased by 14%. Explore the world and become the king of the wasteland.","Вы повидали многое. Но не стоит останавливаться на достигнутом. Стоимость покупки у торговцев уменьшена на 3.5%, а стоимость продажи увеличена на 14%. Исследуйте мир и станьте королем пустоши."
attperfectionRank08Desc,progression,Attribute,,Authority,Авторитет
attperfectionRank08LongDesc,progression,Attribute,,"You can't be ignored. You're right there in every mess. Purchase costs from merchants have been reduced by 4% and sale costs have been increased by 16%. Explore the world and become the king of the wasteland.","С вами нельзя не считаться. В каждой заварушке вы тут как тут. Стоимость покупки у торговцев уменьшена на 4%, а стоимость продажи увеличена на 16%. Исследуйте мир и станьте королем пустоши."
attperfectionRank09Desc,progression,Attribute,,Legend,Легенда
attperfectionRank09LongDesc,progression,Attribute,,"People talk about you with admiration. You are perfect in almost everything. In almost everything. Purchase costs from merchants have been reduced by 4.5% and sale costs have been increased by 18%. Explore the world and become the king of the wasteland.","О вас говорят с восхищением. Вы совершенны почти во всем. Почти во всем. Стоимость покупки у торговцев уменьшена на 4.5%, а стоимость продажи увеличена на 18%. Исследуйте мир и станьте королем пустоши."
attperfectionRank10Desc,progression,Attribute,,Wasteland king,Король пустоши
attperfectionRank10LongDesc,progression,Attribute,,"You are the king of the entire wasteland. There is nothing that will surprise or frighten you. Purchase costs from merchants have been reduced by 5% and sale costs have been increased by 20%. You are perfect!","Вы король всей пустоши. Нет ничего что вас удивит или испугает. Стоимость покупки у торговцев уменьшена на 5%, а стоимость продажи увеличена на 20%. Вы совершенны!"

reqPerfectPoints01,progression,Attribute,,1 lvl,1 ур
reqPerfectPoints02,progression,Attribute,,50 lvl,50 ур
reqPerfectPoints03,progression,Attribute,,100 lvl,100 ур
reqPerfectPoints04,progression,Attribute,,150 lvl,150 ур
reqPerfectPoints05,progression,Attribute,,200 lvl,200 ур
reqPerfectPoints06,progression,Attribute,,250 lvl,250 ур
reqPerfectPoints07,progression,Attribute,,300 lvl,300 ур
reqPerfectPoints08,progression,Attribute,,350 lvl,350 ур
reqPerfectPoints09,progression,Attribute,,400 lvl,400 ур
reqPerfectPoints10,progression,Attribute,,450 lvl,450 ур

reqPerfectLevel01,progression,Attribute,,Perfection Level 1,Уровень совершенства 1
reqPerfectLevel02,progression,Attribute,,Perfection Level 2,Уровень совершенства 2
reqPerfectLevel03,progression,Attribute,,Perfection Level 3,Уровень совершенства 3
reqPerfectLevel04,progression,Attribute,,Perfection Level 4,Уровень совершенства 4
reqPerfectLevel05,progression,Attribute,,Perfection Level 5,Уровень совершенства 5
reqPerfectLevel06,progression,Attribute,,Perfection Level 6,Уровень совершенства 6
reqPerfectLevel07,progression,Attribute,,Perfection Level 7,Уровень совершенства 7
reqPerfectLevel08,progression,Attribute,,Perfection Level 8,Уровень совершенства 8
reqPerfectLevel09,progression,Attribute,,Perfection Level 9,Уровень совершенства 9
reqPerfectLevel10,progression,Attribute,,Perfection Level 10,Уровень совершенства 10

0000 Self Develop 0000

skillSelfDevelopName,progression,Skills,,Skills Self Development,Навыки саморазвития

perkLearningAbilityName,progression,perk,,Learning ability,Обучаемость
perkLearningAbilityDesc,progression,perk,,"You also need to be able to learn. Developing the skill of learning will allow you to learn faster, and when you master the skills, you will be able to teach others.","Обучаться тоже надо уметь. Развитие навыка обучаемости позволит вам обучаться быстрее, и когда вы овладеете навыком вы сможете обучать других."
perkLearningAbilityRank1LongDesc,progression,Skills,,"Everything is like in school. Only zombies interfere with homework.\nYour experience gain is increased by [DECEA3]2.5%[-]","Все как в школе. Только зомби мешают делать уроки.\nПолучаемый вами опыт увеличен на [DECEA3]2.5%[-]"
perkLearningAbilityRank2LongDesc,progression,Skills,,"Ah, student life. Classes, library, parties, girls... and zombies.\nYour experience gain is increased by [DECEA3]5%[-]","Эх, студенческая жизнь. Занятия, библиотека, вечеринки, девочки... и зомби.\nПолучаемый вами опыт увеличен на [DECEA3]5%[-]"
perkLearningAbilityRank3LongDesc,progression,Skills,,"If it weren't for the apocalypse, you would have become a good engineer.\nYour experience gain is increased by [DECEA3]7.5%[-]","Если бы не апокалипсис, вы бы стали хорошим инженером.\nПолучаемый вами опыт увеличен на [DECEA3]7.5%[-]"
perkLearningAbilityRank4LongDesc,progression,Skills,,"You don't have to read a lot to survive the apocalypse. You can, for example, shoot a lot.\nYour experience gain is increased by [DECEA3]10%[-]","Не обязательно много читать, чтобы выживать в апокалипсис. Можно, например, много стрелять.\nПолучаемый вами опыт увеличен на [DECEA3]10%[-]"
perkLearningAbilityRank5LongDesc,progression,Skills,,"Not everyone likes smart guys, but you don't care.\nYour experience gain is increased by [DECEA3]12.5%[-]","Далеко не все любят умников, но вам плевать.\nПолучаемый вами опыт увеличен на [DECEA3]12.5%[-]"
perkLearningAbilityRank6LongDesc,progression,Skills,,"Learned it yourself - teach others\nYour experience is increased by [DECEA3]15%[-]","Научился сам - научи других\nПолучаемый вами опыт увеличен на [DECEA3]15%[-]"
perkLearningAbilityRank7LongDesc,progression,Skills,,"In laboratories, knowledge is obtained faster\nYour experience gain is increased by [DECEA3]17.5%[-]","В лабораториях знания получаются быстрее\nПолучаемый вами опыт увеличен на [DECEA3]17.5%[-]"
perkLearningAbilityRank8LongDesc,progression,Skills,,"Lover of studying everything thoroughly.\nYour experience gain is increased by [DECEA3]20%[-]","Любитель всё досконально изучить.\nПолучаемый вами опыт увеличен на [DECEA3]20%[-]"
perkLearningAbilityRank9LongDesc,progression,Skills,,"Smarter than 99%...\nYour experience gain is increased by [DECEA3]22.5%[-]","Поумнее 99%...\nПолучаемый вами опыт увеличен на [DECEA3]22.5%[-]"
perkLearningAbilityRank10LongDesc,progression,Skills,,"Learned it yourself - teach others. Allies and party members receive 10% more experience.\nYour experience gain is increased by 25%","Профессора много умничают, но они могут многому научить других. Союзники и участники группы получают на [DECEA3]10%[-] больше опыта.\nПолучаемый вами опыт увеличен на [DECEA3]25%[-]"
perkLearningAbilityRank1Desc,progression,Skills,,Schoolboy,Школьник
perkLearningAbilityRank2Desc,progression,Skills,,Student,Студент
perkLearningAbilityRank3Desc,progression,Skills,,Excellent student,Отличник
perkLearningAbilityRank4Desc,progression,Skills,,Graduate student,Аспирант
perkLearningAbilityRank5Desc,progression,Skills,,Botanist,Ботаник
perkLearningAbilityRank6Desc,progression,Skills,,Teacher,Учитель
perkLearningAbilityRank7Desc,progression,Skills,,Lab assistant,Лаборант
perkLearningAbilityRank8Desc,progression,Skills,,Scientist,Ученый
perkLearningAbilityRank9Desc,progression,Skills,,Doctor of Science,Доктор наук
perkLearningAbilityRank10Desc,progression,Skills,,Professor,Профессор

perkLooteringName,progression,perk,,Lootering,Мародерство
